Model,RMSE,MAE,R²
XGBoost,0.10110388926292274,0.07823476020706167,0.9536528596213983
LightGBM,0.1272988985911068,0.09793784099590098,0.9265255217476722
LSTM,0.5867283004409276,0.4933987533826898,-0.5608504425517273
Ensemble,0.3017569179933294,0.25156817369040363,0.5871410635999916
