VH,VV,date,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDVI,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
-20.932816502465975,-12.89587898678084,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,
-20.882948011371074,-13.210617633125072,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,
-20.3559525151853,-12.874276744786755,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
-21.76093653637473,-13.882312092388304,2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,
-21.26863017337889,-12.69084459145052,2024-09-01,,,,,,,,,,,,,,,,,,,,,,,,,
-22.359115548702498,-14.135054475848795,2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,
-21.275170738854417,-13.445836710575753,2024-09-25,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-09-26,397.0097982874948,1437.4683563658218,4148.135127165201,3571.450710312398,1741.2352308432953,2338.849557839905,2747.061474547099,3225.152165679118,3402.327044174385,3703.5360338303512,3585.436219327849,3842.1343659643935,3938.7323402744014,0.0,0.0,0.0,6.9034465178076445,0.0,0.06589923453955479,0.0,5.5580061284342115,142.82393048829286,197.38191166593862,209.71218564620682,4720.77347151092
-21.681538421612228,-14.04642188274992,2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-10-16,204.3158662342156,763.9105292762852,3992.803792147898,3458.4261738626324,1062.1437002226498,1670.888269577003,2111.929743537883,2660.4099429905077,3073.4861771439496,3392.1508365278464,3326.8182885886254,3532.082076709095,3491.095374185583,0.0,0.0,0.0,0.036498049922541256,0.0,0.17569450842925333,0.0,5.000393606420735,108.33040632439993,169.12603145628424,192.19869206438955,3761.641064950263
-21.122641362678117,-13.66152139253517,2024-10-19,,,,,,,,,,,,,,,,,,,,,,,,,
-21.492453236664637,-13.19823796550761,2024-10-31,386.0,896.985359033896,4466.1281296754205,3662.713719721524,1104.6547677068654,1698.5449605245265,2225.4548106965,2774.4020310192836,3266.0129640149603,3508.141703133211,3635.8794662179203,3757.282921173778,3811.3241378058947,0.0,0.0,0.0,0.029120784512665893,0.0,0.2569749393684398,0.0,4.9594038499580435,112.64107700461719,171.91178901985305,200.7704623631943,1580.7346231155075
,,2024-11-05,275.0,858.0739513123317,4597.8857844765,3977.35004147333,1179.8875921222364,1742.6432566858216,2309.323685069692,2799.7569736665637,3261.6678503620565,3524.467392144293,3766.263702851768,3772.261869067113,3819.7947839916624,0.0,0.0,0.0,0.05241741212279861,0.0,0.25658208751236133,0.0,4.960645448548269,120.30897114301555,176.36572545837922,206.96849638667553,1089.9465433755672
,,2024-11-10,240.0,908.8870942139231,4731.876675063689,3970.299031248566,1143.3654951567512,1764.9892420589388,2395.848248356264,2894.325672515656,3299.2275032423045,3525.600101332714,3699.9048113245944,3788.0349831346903,3839.7483229536906,0.0,0.0,0.0,0.11762424138453029,0.0,0.23281910897380906,0.0,6.244128989721947,116.62479550420761,178.33999550055302,210.70352706627818,1272.7635525529922
-22.427536562141885,-14.06580344064673,2024-11-12,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-11-15,187.0,801.588604269349,4814.682543986651,4264.590004477878,1120.7242279470966,1669.6345326317112,2299.28057044762,2773.7699932584437,3137.898493954238,3412.8246308290322,3569.1595152829627,3681.629199404288,3719.0797738196898,0.0,0.0,0.0,0.04378040314585682,0.0,0.23715163943286038,0.0,4.971287287134361,114.3404227322808,169.81772419102285,208.3487199353277,1816.3987658116644
,,2024-11-20,240.0,898.6766387483558,4847.502682220931,4113.893027748238,1116.3963143364733,1679.370191660443,2321.229481679221,2818.367070089984,3197.2247507888937,3425.9910151911536,3556.5800539248403,3708.7436655314837,3760.860450662859,0.0,0.0,0.0,0.019543282050722446,0.0,0.23023891458969795,0.0,4.98687432979371,113.8740368094329,170.96808755370046,211.60188664617232,1677.484893164786
-23.223899305367908,-14.59627904316485,2024-11-24,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-11-25,158.0,851.1267693097137,4884.143124151351,4327.448416051378,1185.8142538055915,1753.6275241026847,2423.927669300561,2864.095940994059,3239.6002372297135,3489.760416897968,3782.6102790151845,3766.0703159725663,3842.1055852395816,0.0,0.0,0.0,0.029455007372824336,0.0,0.24174198296297622,0.0,4.974314960508029,120.95495274756185,177.93571539235828,215.04496325261542,839.1449532411559
